Date,Open,High,Low,Close
2021-06-25,34916.243477116725,35491.53758607613,34915.44661135881,35364.23828125
2021-07-02,35487.78756904865,35576.53653958219,34632.19738164868,34809.4921875
2021-07-09,35010.54140437875,35810.58360086245,34859.494643754406,35071.54296875
2021-07-16,35284.639621107155,35984.83112795977,35059.94302067174,35751.38671875
2021-07-23,35070.09385074511,35346.6414292779,34356.95379761318,35033.9921875
2021-07-30,34947.44533397688,35185.690775098024,34114.80174162509,34583.94921875
2021-08-06,34760.495503756676,36219.38058796922,34587.8490675249,35808.83203125
2021-08-13,35823.78362528719,36316.57874983875,35530.93680437725,36168.9296875
2021-08-20,36100.23039755204,36261.13087807769,34926.094994840925,35033.4453125
2021-08-27,35423.785561652454,35909.88294826908,34817.09342747863,35627.38671875
2021-09-03,35780.63548255951,37139.56983075075,35721.48382537098,36760.72265625
2021-09-10,36877.82089209323,36923.218801346135,36151.527136811506,36682.7734375
2021-09-17,36608.021842230744,38112.30508228477,36326.62668984899,37811.5078125
2021-09-24,37387.76279434971,38112.156862347314,36525.52389147455,37829.859375
2021-10-01,38054.30604660945,38376.80356547614,36875.922040145095,37225.46484375
2021-10-08,37391.71312036369,38106.40723791289,37355.166670840204,37774.8125
2021-10-15,37782.310630428,39374.59335324525,37744.209511005,39340.44140625
2021-10-22,39793.78779125135,40586.87974703235,39292.34247278154,40323.1796875
2021-10-29,40960.77222736883,41829.113661403244,38426.20329350687,39115.1484375
2021-11-05,39431.69134389287,40159.73339360422,39120.1949547704,39573.23828125
2021-11-12,39673.59101741613,39673.59101741613,38345.60405728725,38732.90234375
2021-11-19,38848.99829263539,39116.69440419672,37748.010460278245,37975.80859375
2021-11-26,38231.70598107975,38240.5574411416,35903.6850022177,36025.08203125
2021-12-03,36224.02836877486,36843.57058599445,35327.48800351136,36196.7265625
2021-12-10,36252.32994887625,37397.11744255636,35696.3363911027,37105.21875
2021-12-17,37357.76449315635,37580.61346240294,35534.63769056269,35618.234375
2021-12-24,35123.94520596271,35476.88728986667,34018.05565648867,34856.64453125
2021-12-31,34573.24779897619,35596.53381131151,34232.60330890128,35481.28515625
2022-01-07,35584.78703524051,38134.40948052595,35526.1900577274,37739.1640625
2022-01-14,37930.11031517277,38850.9985628448,37928.91111034862,38369.953125
2022-01-21,38212.10551067158,38855.09794884346,37223.816575850076,37573.86328125
2022-01-28,37601.511920817844,38421.253218174104,36374.928529483084,37688.9609375
2022-02-04,38091.35802145327,39424.39361874547,37647.413962944105,38788.90234375
2022-02-11,38591.602444073695,39196.743930395016,37318.61760917495,38516.80078125
2022-02-18,37663.56151759803,38461.25190559371,36651.423962703804,37598.7109375
2022-02-25,37399.565815608046,38053.95665606025,34990.94416269976,36430.328125
2022-03-04,35938.53044735812,36269.827368192266,34093.70675759289,34407.40234375
2022-03-11,33277.76088633603,35373.73560735664,32154.974585594362,34545.84765625
2022-03-18,34659.84741565458,36611.52521983307,34624.648605749135,36428.12890625
2022-03-25,36545.42747421494,36827.17174831618,35203.44379524983,35409.69140625
2022-04-01,35488.28772802542,37209.36647200313,35015.89476797541,37148.06640625
2022-04-08,37824.50942092961,38765.40082463055,37346.36573392472,37751.61328125
2022-04-15,37591.31275648078,37988.161890155905,37264.01731622934,37462.96484375
2022-04-22,36832.72144890834,37123.119828916795,35925.88372730932,36044.33203125
2022-04-29,35791.93695303597,36718.37550835769,35510.98708252526,36087.73046875
2022-05-06,35627.18594204003,36308.87847368281,34352.79964327097,34590.796875
2022-05-13,34091.35369733804,34792.795714690015,33007.51304340762,33120.96484375
2022-05-20,33255.61334665584,34655.396604567155,33001.366302712275,34276.0
2022-05-27,34320.99914144521,35694.43655183963,34115.40436959846,35612.88671875
2022-06-03,35958.381274277126,36083.278254671655,35174.69256839707,35274.640625
2022-06-10,35158.740035825824,35449.48633139148,34346.247693990896,34483.3984375
2022-06-17,33728.25798193151,33773.65980008683,32290.17518524732,32742.669921875
2022-06-24,32873.01538049235,33721.50671535386,32426.022542258448,33627.05859375
2022-07-01,34125.80101247146,34147.10154517034,33080.06393960031,33539.05859375
2022-07-08,33558.461472188166,35261.689794181075,33515.21197492903,35123.640625
2022-07-15,35017.19277706553,35542.68664252929,34463.498631407856,34682.24609375
2022-07-22,34841.44740161468,36823.0224581983,34803.99471106599,36738.5234375
2022-07-29,36766.27297027975,37754.20786554537,36248.1819757291,37490.9609375
2022-08-05,37593.71063033792,38231.40854326938,37249.068363964696,37920.16015625
2022-08-12,37846.91079248344,39088.44477168754,37681.01038083108,39041.84765625
2022-08-19,39283.64401349645,39758.68632577778,38847.946911222076,38985.49609375
2022-08-26,38693.19852163497,39471.29081406086,37950.411012885525,38986.6953125
2022-09-02,38111.15817075209,39667.18714543041,37943.410122361645,39420.54296875
2022-09-09,39411.59440265754,40685.47733433219,39257.79525817987,40415.23046875
2022-09-16,40539.97695334109,41839.66061234929,40288.43092462966,40776.328125
2022-09-23,40685.127549124045,41677.16554316215,39412.23983787201,39545.7890625
2022-09-30,39027.397555632575,39228.942086059105,37385.91682776734,38631.5
2022-10-07,38444.45221148561,39607.8907442624,37962.80936442989,39177.59375
2022-10-14,38641.102890138834,39570.3914470194,38437.50216387478,39305.14453125
2022-10-21,39295.14399463325,41031.77446730909,39146.24338473958,40783.578125
2022-10-28,41347.87058829255,41530.16714795477,40838.82598068995,40990.375
2022-11-04,41265.21924083606,41676.76501976088,40818.673543842415,41257.96875
2022-11-11,41740.16343564171,42345.009303254774,41318.12050736358,42136.5625
2022-11-18,42177.06133025349,42622.255903253215,41964.96222909416,42436.95703125
2022-11-25,42286.457723989864,43338.64430573424,42202.060267440036,42983.44921875
2022-12-02,42756.70227834148,43514.543911684945,42739.503259487334,43103.25
2022-12-09,43268.84839580863,43852.88806519864,42947.95096184205,43632.94140625
2022-12-16,43455.346688198595,44151.287869442385,43080.04849504141,43218.99609375
2022-12-23,43345.84843854809,43614.140741684154,41597.16488090006,41667.56640625
2022-12-30,41715.86610274812,43497.5440125112,41568.96546852383,42985.94921875
2023-01-06,43038.25,43578.3984375,41877.0,42188.80078125
2023-01-13,42404.8515625,42716.80078125,41729.0,42371.25
2023-01-20,42622.5,42715.6484375,41861.1015625,42506.80078125
2023-01-27,42891.44921875,43078.8984375,40148.80078125,40345.30078125
2023-02-03,39856.1484375,42015.6484375,39419.80078125,41499.69921875
2023-02-10,41530.1484375,41791.94921875,41095.1015625,41559.3984375
2023-02-17,41563.5,41979.1015625,40882.69921875,41131.75
2023-02-24,41221.55078125,41292.6015625,39600.25,39909.3984375
2023-03-03,39820.3984375,41390.1484375,39745.3984375,41251.3515625
2023-03-10,41418.3984375,41671.19921875,40341.69921875,40485.44921875
2023-03-17,40356.1015625,40690.05078125,38613.1484375,39598.1015625
2023-03-24,39512.1015625,40201.6015625,38941.8984375,39395.3515625
2023-03-31,39484.69921875,40690.3984375,39273.75,40608.6484375
2023-04-07,40695.80078125,41274.69921875,40535.8984375,41041.0
2023-04-14,41116.1484375,42196.19921875,40727.25,42132.55078125
2023-04-21,42603.55078125,42603.55078125,41799.0,42118.0
2023-04-28,42469.94921875,43302.05078125,42269.1015625,43233.8984375
2023-05-05,43395.05078125,43739.80078125,42582.19921875,42661.19921875
2023-05-12,42796.8515625,43905.94921875,42780.30078125,43793.55078125
2023-05-19,43821.05078125,44151.69921875,43446.3984375,43969.3984375
2023-05-26,43935.30078125,44095.25,43390.30078125,44018.0
2023-06-02,44276.80078125,44498.6015625,43706.1484375,43937.8515625
2023-06-09,44103.25,44459.25,43917.8984375,43989.0
2023-06-16,44035.19921875,44212.3515625,43397.5,43938.1484375
2023-06-23,44015.30078125,44042.1484375,43345.94921875,43622.8984375
2023-06-30,43714.75,44787.1015625,43541.75,44747.3515625
2023-07-07,44957.94921875,45655.5,44844.80078125,44925.0
2023-07-14,44958.6484375,45184.30078125,44547.80078125,44819.30078125
2023-07-21,44951.19921875,46369.5,44695.05078125,46075.19921875
2023-07-28,46131.8984375,46310.1015625,45238.80078125,45468.1015625
2023-08-04,45546.3515625,45782.75,44279.3984375,44879.5
2023-08-11,44993.69921875,45096.8515625,44120.8984375,44199.1015625
2023-08-18,44066.6015625,44212.75,43600.3515625,43851.05078125
2023-08-25,43952.8515625,44949.8984375,43862.0,44231.44921875
2023-09-01,44253.6484375,44779.6484375,43830.75,44436.1015625
2023-09-08,44647.6484375,45383.3515625,44207.25,45156.3984375
2023-09-15,45340.80078125,46310.3984375,45231.30078125,46231.5
2023-09-22,46100.94921875,46252.94921875,44548.8984375,44612.05078125
2023-09-29,44615.0,44936.55078125,44182.5,44584.55078125
2023-10-06,44561.5,44566.30078125,43857.5,44360.6015625
2023-10-13,44057.80078125,44710.55078125,43796.75,44287.94921875
2023-10-20,44204.75,44589.8515625,43558.1015625,43723.05078125
2023-10-27,43822.69921875,43831.30078125,42105.3984375,42782.0
2023-11-03,42721.3984375,43416.1015625,42390.5,43318.25
2023-11-10,43627.75,43908.69921875,43283.8515625,43820.1015625
2023-11-17,43915.1015625,44420.94921875,43513.8515625,43583.94921875
2023-11-24,43591.5,43806.5,43230.94921875,43769.1015625
2023-12-01,43851.55078125,44951.1015625,43739.80078125,44814.19921875
2023-12-08,45671.5,47303.6484375,45484.19921875,47262.0
2023-12-15,47233.30078125,48219.94921875,46886.8984375,48143.55078125
2023-12-22,48068.5,48166.1484375,46919.69921875,47491.8515625
2023-12-29,47576.3984375,48636.44921875,47411.6484375,48292.25
2024-01-05,48203.44921875,48450.0,47481.3515625,48159.0
2024-01-12,48096.6484375,48154.5,47010.80078125,47709.80078125
2024-01-19,47891.05078125,48305.3984375,45430.69921875,45701.1484375
2024-01-26,46495.44921875,46580.30078125,44429.0,44866.1484375
2024-02-02,45171.5,46892.3515625,45071.19921875,45970.94921875
2024-02-09,45962.25,46181.19921875,44859.1484375,45634.55078125
2024-02-16,45664.30078125,46693.3984375,44633.8515625,46384.8515625
2024-02-23,46554.8984375,47363.3984375,46317.69921875,46811.75
2024-03-01,46615.8515625,47342.25,45661.75,47286.8984375
2024-03-08,47318.5,48161.25,47191.6484375,47835.80078125
2024-03-15,47792.19921875,47853.80078125,46310.5,46594.1015625
2024-03-22,46458.75,46990.25,45828.80078125,46863.75
2024-03-29,46552.94921875,47440.44921875,46529.05078125,47124.6015625
2024-04-05,47391.05078125,48557.3984375,47279.80078125,48493.05078125
2024-04-12,48586.75,49057.3984375,48424.6484375,48564.55078125
2024-04-19,48057.5,48255.5,46579.05078125,47574.1484375
2024-04-26,48145.69921875,48679.6484375,47628.44921875,48201.05078125
2024-05-03,48359.8984375,49974.75,48342.69921875,48923.55078125
2024-05-10,49174.55078125,49252.6484375,47313.3515625,47421.1015625
2024-05-17,47389.80078125,48188.6484375,46983.25,48115.6484375
2024-05-24,47927.1015625,49052.94921875,47435.25,48971.6484375
2024-05-31,49105.8984375,49688.8515625,48313.6015625,48983.94921875
2024-06-07,50889.8515625,51133.19921875,46077.8515625,49803.19921875
2024-06-14,49808.1484375,50252.94921875,49530.44921875,50002.0
2024-06-21,50194.3515625,51957.0,49900.19921875,51661.44921875
2024-06-28,51280.25,53180.75,51138.8984375,52342.25
2024-07-05,52351.1484375,53357.69921875,51996.6484375,52660.3515625
2024-07-12,52533.1015625,52794.55078125,51749.44921875,52278.8984375
2024-07-19,52330.05078125,52782.75,52146.30078125,52265.6015625
2024-07-26,52145.6015625,52547.55078125,50438.30078125,51295.94921875
2024-08-02,51546.6484375,52340.25,51087.8515625,51350.1484375
2024-08-09,50586.25,50747.55078125,49659.05078125,50484.5
2024-08-16,50412.6015625,50830.69921875,49654.6484375,50516.8984375
2024-08-23,50683.55078125,51117.8515625,50283.55078125,50933.44921875
2024-08-30,51100.6484375,51466.55078125,50938.1015625,51351.0
2024-09-06,51579.5,51750.1015625,50447.30078125,50576.8515625
2024-09-13,50549.25,51994.1015625,50369.3984375,51938.05078125
2024-09-20,52038.69921875,54066.1015625,51921.44921875,53793.19921875
2024-09-27,53917.8984375,54467.3515625,53741.3984375,53834.30078125
2024-10-04,53556.94921875,53726.3984375,51347.25,51462.05078125
2024-10-11,51543.19921875,51784.80078125,50194.30078125,51172.30078125
2024-10-18,51263.25,52199.44921875,51000.8984375,52094.19921875
2024-10-25,52361.1015625,52577.5,50382.1015625,50787.44921875
2024-11-01,51061.3515625,52354.8515625,51012.55078125,51673.8984375
2024-11-08,51764.5,52493.94921875,50865.44921875,51561.19921875
2024-11-15,51562.69921875,52177.69921875,49904.3984375,50179.55078125
2024-11-22,50312.44921875,51271.5,49787.1015625,51135.3984375
2024-11-29,52046.3515625,52760.19921875,51759.44921875,52055.6015625
2024-12-06,52087.6484375,53888.30078125,51693.94921875,53509.5
2024-12-13,53380.75,53775.1015625,52264.55078125,53583.80078125
2024-12-20,53502.5,53738.8984375,50609.3515625,50759.19921875
2024-12-27,51044.3984375,51740.0,50951.80078125,51311.30078125
2025-01-03,51255.3515625,51979.75,50485.05078125,50988.80078125
2025-01-10,50990.6484375,51026.1015625,48631.19921875,48734.1484375
2025-01-17,48264.25,49459.0,47898.3515625,48540.6015625
2025-01-24,48834.1484375,49650.6015625,48074.05078125,48367.80078125
