Date,AAPL,MSFT,JPM,XOM,JNJ,PG,WMT,NVDA
2024-01-02,183.56216430664062,363.801513671875,163.00933837890625,94.20769500732422,148.80397033691406,139.3453369140625,51.76509094238281,48.0825309753418
2024-01-03,182.18772888183594,363.53662109375,162.29888916015625,94.99919891357422,149.73419189453125,138.50216674804688,51.768341064453125,47.484596252441406
2024-01-04,179.87391662597656,360.9273681640625,163.37591552734375,94.17086791992188,149.41790771484375,139.26101684570312,51.267879486083984,47.912837982177734
2024-01-05,179.152099609375,360.7409973144531,164.19561767578125,94.4561767578125,149.8830108642578,138.1087188720703,50.92666244506836,49.009883880615234
2024-01-08,183.48306274414062,367.5486755371094,163.95730590820312,92.88237762451172,150.25509643554688,139.2985076904297,51.4271125793457,52.1602897644043
2024-01-09,183.06777954101562,368.6277770996094,162.6610565185547,91.73192596435547,150.34812927246094,139.86997985839844,51.77159118652344,53.045711517333984
2024-01-10,184.10601806640625,375.4747314453125,163.00421142578125,90.8299789428711,150.57138061523438,140.4695281982422,52.41503143310547,54.253562927246094
2024-01-11,183.51275634765625,377.29925537109375,162.3179473876953,90.81157684326172,149.901611328125,141.00355529785156,52.356544494628906,54.72472381591797
2024-01-12,183.8390350341797,381.0660400390625,161.1265411376953,91.98963165283203,151.05506896972656,141.08786010742188,52.42478561401367,54.61293029785156
2024-01-16,181.57470703125,382.83172607421875,160.11619567871094,89.90963745117188,149.31561279296875,140.32901000976562,52.59052276611328,56.28195571899414
2024-01-17,180.6353302001953,382.0470275878906,159.25839233398438,89.25617980957031,149.2318572998047,140.4695281982422,52.34354019165039,55.95354461669922
2024-01-18,186.5187225341797,386.36309814453125,159.5729217529297,89.09050750732422,149.9574432373047,139.65972900390625,53.048736572265625,57.00567626953125
2024-01-19,189.41592407226562,391.0716857910156,162.32748413085938,89.22856140136719,150.3946075439453,139.12237548828125,52.769256591796875,59.385440826416016
2024-01-22,191.7198486328125,388.9528503417969,162.1368408203125,89.1089096069336,151.12948608398438,139.39576721191406,52.77250671386719,59.54815673828125
2024-01-23,192.9954376220703,391.2972717285156,161.0693359375,90.11210632324219,148.6551513671875,145.1654052734375,52.90574645996094,59.76677322387695
2024-01-24,192.322998046875,394.8875427246094,162.50856018066406,91.66751098632812,147.86451721191406,143.41189575195312,52.1583137512207,61.253116607666016
2024-01-25,191.9967041015625,397.15350341796875,164.8341827392578,93.99600219726562,148.422607421875,146.71153259277344,52.91874313354492,61.50767517089844
2024-01-26,190.2663116455078,396.23138427734375,164.2051239013672,94.79670715332031,148.36680603027344,147.20175170898438,53.383460998535156,60.922706604003906
2024-01-29,189.5840301513672,401.91107177734375,164.63400268554688,94.91636657714844,148.236572265625,147.22061157226562,53.633689880371094,62.35416793823242
2024-01-30,185.93531799316406,400.80255126953125,168.00811767578125,96.49937438964844,147.687744140625,148.47447204589844,53.81242370605469,62.66261291503906
2024-01-31,182.33604431152344,390.0023498535156,166.18765258789062,94.62183380126953,147.8086700439453,148.14451599121094,53.70193099975586,61.41783142089844
2024-02-01,184.76853942871094,396.0842590332031,165.58717346191406,94.23530578613281,147.30638122558594,150.06773376464844,54.696353912353516,62.9151725769043
2024-02-02,183.7698211669922,403.3824157714844,166.54029846191406,93.84874725341797,145.67849731445312,149.04013061523438,55.10581588745117,66.0426025390625
2024-02-05,185.57936096191406,397.9186096191406,166.32110595703125,93.46221160888672,144.92503356933594,149.1532745361328,54.810096740722656,69.208984375
2024-02-06,187.1812286376953,397.7616882324219,166.8929901123047,94.10645294189453,147.02731323242188,149.86033630371094,55.183815002441406,68.10194396972656
2024-02-07,187.2899932861328,406.1585693359375,167.20748901367188,94.07884979248047,146.95289611816406,150.0111541748047,55.04408264160156,69.974609375
2024-02-08,186.2122039794922,406.21734619140625,166.60702514648438,95.68948364257812,145.483154296875,149.55862426757812,55.04082489013672,69.51741790771484
2024-02-09,186.97454833984375,412.5346374511719,166.80715942382812,93.66465759277344,145.81800842285156,148.4084930419922,55.01157760620117,72.00502014160156
