Index,Strategy,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Trades,Win %,Profit Factor,Exposure %
Nifty 50,MA Crossover + RSI,43.1220590587285,6.091198771140127,0.6990492825009486,0.6040238992217482,-14.066017581430646,63,38.095238095238095,1.7584492335437225,45.6151832460733
Nifty 50,RSI Mean-Reversion,28.183991721675095,4.179940964838402,0.5579239165107794,0.3832968064919204,-11.959865184175023,18,66.66666666666666,3.910529269311931,22.25130890052356
Nifty 50,MACD Trend,50.11959338500374,6.929690862290627,0.7359697093529814,0.6327155507240987,-10.513801859607707,60,40.0,1.876604427250184,48.42931937172775
Nifty 50,Bollinger Breakout,37.224241170279,5.3574608048925,0.7906110305676871,0.5125584144888808,-20.403818796910077,21,38.095238095238095,2.4357770584610936,27.55235602094241
Nifty 50,Golden Cross 50/200,79.41184148103342,10.119820848779625,0.8578990517950233,0.9886362662109227,-16.773686126041763,4,50.0,14.18777142624474,75.13089005235602
Nifty 50,Bollinger Mean-Reversion,67.03772459566868,8.829567879416533,1.15811252158432,0.7491553340699217,-10.41028101454291,26,88.46153846153845,12.254950090053248,16.75392670157068
Nifty 50,Stochastic Reversal,17.341852412849157,2.6725339873009846,0.4077514639873368,0.2646071598349594,-13.957271361553602,14,64.28571428571429,2.38366987412726,16.68848167539267
Nifty 50,Donchian Breakout,36.506904132696484,5.2664307453623715,0.5882941898382767,0.5011274805311876,-18.11413894928826,29,41.37931034482759,1.8883401552385803,47.51308900523561
Nifty 50,Buy & Hold,167.45848240813137,17.61528028904291,1.1601608251759934,1.559218081966526,-17.229756084670143,1,100.0,,100.0
Bank Nifty,MA Crossover + RSI,60.23630386385066,8.086006449790538,0.7142388066229639,0.6096901811039936,-16.178447376432082,56,48.214285714285715,2.206182319645096,41.688481675392666
Bank Nifty,RSI Mean-Reversion,36.789045669931774,5.302282053900043,0.5168797131447561,0.3896713423503446,-12.925759779392765,22,54.54545454545454,3.4247920519924198,26.2434554973822
Bank Nifty,MACD Trend,77.42882460858105,9.918155516700145,0.7250239500496877,0.669154843017753,-18.395141968608154,58,46.55172413793103,1.9293647587547742,49.410994764397905
Bank Nifty,Bollinger Breakout,28.10000101701984,4.168679948844756,0.4391794936228125,0.32599812837102876,-19.931776266793943,30,43.333333333333336,1.7491699400359035,34.096858638743456
Bank Nifty,Golden Cross 50/200,84.72334190017693,10.650953880537116,0.7034856449775266,0.8285548387547632,-20.289513513554425,3,100.0,,77.15968586387434
Bank Nifty,Bollinger Mean-Reversion,60.414132533636256,8.105780078028335,0.7825600529503542,0.515725561076254,-16.653946307238034,24,70.83333333333334,4.452039504564199,18.651832460732983
Bank Nifty,Stochastic Reversal,38.504488395644955,5.518941284003209,0.5449841170093391,0.3586915314791921,-13.002516106196694,22,68.18181818181817,3.1557426307891068,23.036649214659686
Bank Nifty,Donchian Breakout,17.202027176921785,2.6523465927217993,0.2642626036419363,0.23784964612607187,-22.641072093379478,31,45.16129032258064,1.4106515689418313,50.654450261780106
Bank Nifty,Buy & Hold,199.60318877911627,19.837498810352592,0.9816493484227714,1.3207224640605089,-20.905808173284445,1,100.0,,100.0
