Date,Open,High,Low,Close,SMA20,SMA50,RSI,MACD,MACD_sig,BB_up,BB_dn,SMA200,STO_K,STO_D,DON_HI,DON_LO
2020-04-21,19811.8195180781,19891.21702877175,19247.72454025316,19409.123046875,19117.53271484375,24944.908984375,49.021046989632325,-1330.4264050313468,-1863.5631504630064,21291.624788800706,16943.440640886794,28765.8978515625,52.466876102083845,71.51008706406088,22543.789762173208,17142.999284296187
2020-04-22,19306.72528345179,19806.11988168701,19051.728241117467,19701.62109375,19098.45048828125,24725.2145703125,48.71375316180366,-1232.227050512396,-1737.2959304728845,21243.35628657609,16953.54468998641,28710.1725,64.30547872548719,65.0049583016213,21462.150586862128,17142.999284296187
2020-04-23,19871.11790567653,20356.262639356126,19584.172032808743,20267.712890625,19095.96796875,24510.53703125,57.60700323726098,-1096.089440805099,-1609.0546325393275,21235.040670327497,16956.895267172502,28655.701123046874,78.53298349626417,65.1017794412784,21462.150586862128,17953.54213383709
2020-04-24,19697.420579973343,19949.91763407937,19515.17270626711,19586.421875,19229.41640625,24276.19171875,52.19480175371859,-1031.2858738671312,-1493.5008808048883,21114.130569015095,17344.702243484902,28597.287548828124,61.41019311385464,68.08288511186866,21462.150586862128,18482.685087280915
2020-04-27,19870.56886132298,20224.51394899251,19847.41874089529,20080.916015625,19378.10712890625,24053.7783203125,59.71076983155719,-929.3144768844795,-1380.6636000208066,21010.1128807336,17746.1013770789,28542.167939453124,73.8382441538116,71.26047358797679,21462.150586862128,18703.23267390261
2020-04-28,20436.362100300637,20751.05961479694,20260.565315265863,20670.859375,19487.60830078125,23846.0397265625,68.44875107647664,-791.770869647251,-1262.8850539460955,21159.522162985835,17815.694438576662,28488.66306640625,85.76544987422582,73.67129571396401,21462.150586862128,18703.23267390261
2020-04-29,20440.161879137675,21347.901286937988,20393.41242464617,21089.953125,19561.42236328125,23641.8340625,62.86659807250573,-641.5537742944689,-1138.6187980157702,21380.635751245347,17742.208975317153,28437.69814453125,90.99725312285821,83.53364905029854,21462.150586862128,18703.23267390261
2020-04-30,21588.948583731555,21966.744978987208,21353.402490158416,21534.25,19639.696484375,23442.668359375,65.76552695007328,-481.1086779434918,-1007.1167740013145,21656.67099907386,17622.72196967614,28388.459716796875,86.74756095408695,87.83675465039032,21462.150586862128,18703.23267390261
2020-05-04,20514.51256076389,20530.21159780997,19643.37225289804,19743.521484375,19687.7634765625,23212.9410546875,49.05969749337006,-492.7712483970754,-904.2476688804668,21664.10372135319,17711.423231771812,28329.81990234375,31.876356306412735,69.8737234611193,21966.744978987208,19051.728241117467
2020-05-05,20147.06596746109,20222.914692820195,19212.125692302703,19271.525390625,19694.15087890625,22981.6826953125,48.8089236863026,-533.9450732009136,-830.1871497445562,21663.90324797626,17724.39850983624,28268.8003515625,17.413530687075447,45.34581598252504,21966.744978987208,19051.728241117467
