Date,Open,High,Low,Close,SMA20,SMA50,RSI,MACD,MACD_sig,BB_up,BB_dn,SMA200,STO_K,STO_D,DON_HI,DON_LO
2020-04-21,9016.9501953125,9044.400390625,8909.400390625,8981.4501953125,8616.55244140625,10213.69404296875,55.38502561970484,-251.09299642577935,-436.8114262655612,9543.833523526884,7689.271359285615,11286.473256835938,69.3345212571804,85.3714675067706,9390.849609375,8055.7998046875
2020-04-22,9026.75,9209.75,8946.25,9187.2998046875,8662.744921875,10157.84703125,57.880642145758124,-213.23503019451164,-392.0961470513513,9607.83583105707,7717.654012692931,11273.427504882813,84.753392422304,81.47511760372937,9390.849609375,8055.7998046875
2020-04-23,9232.349609375,9343.599609375,9170.150390625,9313.900390625,8691.167431640624,10102.34203125,66.70440574223622,-171.0450095659471,-347.88591955427046,9679.913732711826,7702.4211305694225,11260.7592578125,94.23622860511846,82.7747140948676,9390.849609375,8360.9501953125
2020-04-24,9163.900390625,9296.900390625,9141.2998046875,9154.400390625,8768.374951171874,10042.67103515625,59.485388431490406,-148.7645659445243,-308.0616488323212,9635.393276269406,7901.356626074342,11247.323510742188,82.28910877183743,87.09290993308662,9390.849609375,8653.900390625
2020-04-27,9259.7001953125,9377.099609375,9250.349609375,9282.2998046875,8842.437451171874,9986.3500390625,68.91876161782659,-119.41025297182023,-270.33136966022107,9608.75048658728,8076.12441575647,11234.79076171875,91.8692318214369,89.46485639946427,9390.849609375,8821.900390625
2020-04-28,9389.7998046875,9404.400390625,9260.0,9380.900390625,8895.589990234375,9933.338046875,74.50316843920932,-87.18548520648983,-233.70219276947483,9656.14595162101,8135.034028847741,11222.367265625,97.74785609264637,90.63539889530689,9390.849609375,8821.900390625
2020-04-29,9408.599609375,9599.849609375,9392.349609375,9553.349609375,8941.1849609375,9882.24703125,68.02944791860878,-47.18796041648602,-196.39934629887708,9745.659050480577,8136.7108713944235,11210.582514648437,95.08430272172049,94.9004635452679,9404.400390625,8821.900390625
2020-04-30,9753.5,9889.0498046875,9731.5,9859.900390625,9001.16748046875,9835.42103515625,73.40297483345853,9.141079566184999,-155.29126112586468,9891.732493199654,8110.602467737847,11200.298266601563,97.26847865178205,96.7002124887163,9599.849609375,8821.900390625
2020-05-04,9533.5,9533.5,9266.9501953125,9293.5,9051.7875,9777.79802734375,53.52319429613792,7.986409308263319,-122.63572703903908,9883.142327593458,8220.432672406543,11187.032016601563,44.19246294477932,78.84841477276062,9889.0498046875,8909.400390625
2020-05-05,9429.400390625,9450.900390625,9190.75,9205.599609375,9082.17998046875,9719.641015625,54.15676832120483,-0.021257061142023304,-98.11283304345967,9887.687416571154,8276.672544366347,11174.004262695313,35.955529159624106,59.13882358539515,9889.0498046875,8909.400390625
